Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,latitude,longitude,distance,BABIP,BABIP_average,block
2616,2001-04-16,PIT,HOU,False,3,0,PIT08,PNC Park,Pittsburgh,PA,37,6,2,0,0,21,6,2,0,32,5,0,0,0,15,7,5,0,40.4406,-79.9959,897.4133453756724,0.27586206896551724,0.17793103448275863,43
2667,2001-04-20,HOU,SLN,False,10,1,HOU03,Minute Maid Park,Houston,TX,32,3,0,0,0,18,8,2,1,44,3,4,0,3,19,6,6,3,29.7604,-95.3698,1829.8898379267123,0.15384615384615385,0.25740623409627617,44
2796,2001-04-30,NYN,HOU,False,8,2,NYC17,Shea Stadium,New York,NY,37,4,3,0,1,19,8,2,0,43,8,1,0,2,20,5,7,0,40.7128,-74.006,2281.3448196669424,0.23076923076923078,0.13685739547808515,45
2849,2001-05-04,MON,HOU,False,4,8,MON02,Stade Olympique,Montreal,QUE,44,6,3,0,3,19,7,4,2,34,2,4,0,0,21,5,1,1,45.5017,-73.5673,533.6884829149174,0.21428571428571427,0.23216825848404796,46
2886,2001-05-07,HOU,PHI,False,0,5,HOU03,Minute Maid Park,Houston,TX,38,4,2,1,2,16,10,1,2,32,1,1,0,0,17,8,4,1,29.7604,-95.3698,2582.3304260193245,0.10526315789473684,0.14453299665956496,47
2957,2001-05-12,CIN,HOU,False,5,4,CIN08,Cinergy Field,Cincinnati,OH,35,3,2,0,1,21,4,4,0,41,10,1,0,1,19,6,4,0,39.1031,-84.512,1436.8750340214951,0.15384615384615385,0.22282051282051282,48
2990,2001-05-15,CHN,HOU,False,7,9,CHI11,Wrigley Field,Chicago,IL,56,7,7,1,2,18,15,5,1,48,3,3,1,2,26,8,5,0,41.8781,-87.6298,405.8047375471237,0.3939393939393939,0.3046894061386815,49
3037,2001-05-18,HOU,CIN,False,4,7,HOU03,Minute Maid Park,Houston,TX,35,7,2,0,1,18,7,0,0,39,4,2,0,1,21,6,5,0,29.7604,-95.3698,1515.8051067847966,0.18518518518518517,0.24670337750797522,50
3124,2001-05-25,LAN,HOU,False,4,1,LOS03,Dodger Stadium,Los Angeles,CA,34,7,0,0,0,13,11,2,1,32,6,2,0,1,14,8,1,0,34.0522,-118.2437,2206.264028358936,0.35,0.18828470380194517,51
3182,2001-05-29,SDN,HOU,False,5,4,SAN01,Qualcomm Stadium,San Diego,CA,38,4,2,0,0,17,10,4,1,35,5,0,1,2,14,9,4,0,32.7157,-117.1611,179.41042505730124,0.2608695652173913,0.3253493788819876,52
3219,2001-06-01,HOU,LAN,False,10,9,HOU03,Minute Maid Park,Houston,TX,43,4,4,0,3,20,7,4,1,42,10,3,1,2,16,7,2,1,29.7604,-95.3698,2093.8537196175917,0.4,0.31862745098039214,53
3269,2001-06-05,COL,HOU,False,9,4,DEN02,Coors Field,Denver,CO,37,5,2,0,2,20,5,3,0,38,6,3,0,3,20,4,2,0,39.7392,-104.9903,1413.6448443865136,0.18518518518518517,0.22839506172839508,54
3314,2001-06-08,TEX,HOU,False,4,5,ARL02,Rangers Ballpark in Arlington,Arlington,TX,45,9,1,0,1,21,8,3,2,46,4,2,0,2,25,7,5,1,32.7357,-97.1081,1050.8594981293954,0.2903225806451613,0.21087675765095124,55
3356,2001-06-12,MIN,HOU,False,7,0,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,31,3,1,0,0,20,7,0,0,36,5,0,0,3,15,8,4,1,44.9778,-93.265,1400.8935319256173,0.16666666666666666,0.20905944877023852,56
3399,2001-06-15,HOU,TEX,False,9,12,HOU03,Minute Maid Park,Houston,TX,47,8,5,0,2,19,8,4,1,43,6,4,0,3,17,10,3,0,29.7604,-95.3698,1702.1248427319183,0.25925925925925924,0.25455655025051577,57
3539,2001-06-25,ARI,HOU,False,0,6,PHO01,Chase Field,Phoenix,AZ,40,6,3,0,2,20,4,2,3,40,6,0,0,0,22,5,7,0,33.4484,-112.074,1632.1668815292296,0.2413793103448276,0.10889292196007261,58
3598,2001-06-29,MIL,HOU,False,6,1,MIL06,Miller Park,Milwaukee,WI,34,4,1,0,1,22,4,1,1,39,6,1,1,1,14,9,4,3,43.0389,-87.9065,2352.946733972739,0.14814814814814814,0.2710706504824152,59
3651,2001-07-03,HOU,ARI,False,6,5,HOU03,Minute Maid Park,Houston,TX,39,7,0,0,2,17,8,3,2,42,9,3,0,1,16,8,4,1,29.7604,-95.3698,1618.8722925866018,0.39285714285714285,0.167989417989418,60
3692,2001-07-06,KCA,HOU,False,3,8,KAN06,Kauffman Stadium,Kansas City,MO,41,8,1,0,1,19,9,2,1,39,10,1,0,0,22,4,2,0,39.0997,-94.5786,1041.001459501191,0.2857142857142857,0.34685099846390166,61
3740,2001-07-12,HOU,SDN,False,4,7,HOU03,Minute Maid Park,Houston,TX,40,8,5,1,0,20,4,2,0,36,4,3,0,2,16,10,1,0,29.7604,-95.3698,1041.001459501191,0.21739130434782608,0.270162230995927,62
3922,2001-07-24,SLN,HOU,False,1,2,STL09,Busch Stadium II,St. Louis,MO,33,6,1,0,0,19,6,0,1,31,0,1,0,1,19,8,2,0,38.627,-90.1994,1094.0998481890863,0.2692307692307692,0.22552447552447552,63
3951,2001-07-26,PIT,HOU,False,2,3,PIT08,PNC Park,Pittsburgh,PA,31,5,0,0,1,13,10,1,1,35,3,3,0,0,22,4,2,1,40.4406,-79.9959,897.4133453756724,0.2222222222222222,0.2677777777777778,64
4009,2001-07-31,HOU,NYN,False,3,2,HOU03,Minute Maid Park,Houston,TX,41,5,1,0,0,19,9,5,2,37,6,0,0,2,22,6,0,1,29.7604,-95.3698,1829.8898379267123,0.14285714285714285,0.25627276512333985,65
4104,2001-08-07,ATL,HOU,False,6,5,ATL02,Turner Field,Atlanta,GA,38,10,1,0,0,21,5,1,0,35,4,0,0,2,19,3,5,2,33.749,-84.388,1128.2636558355653,0.34375,0.3250534188034188,66
4151,2001-08-10,FLO,HOU,False,2,7,MIA01,Sun Life Stadium,Miami,FL,45,10,2,1,2,16,10,3,1,34,1,3,0,1,26,2,1,0,25.7617,-80.1918,975.8830237545526,0.3793103448275862,0.1931034482758621,67
4188,2001-08-13,HOU,CHN,False,9,5,HOU03,Minute Maid Park,Houston,TX,38,5,0,1,2,20,5,5,0,38,7,2,1,3,18,4,3,0,29.7604,-95.3698,1556.7944991212414,0.25,0.20956632653061225,68
4301,2001-08-21,PHI,HOU,False,2,8,PHI12,Veterans Stadium,Philadelphia,PA,42,6,3,1,0,24,3,4,1,34,6,2,0,0,14,10,2,0,39.9526,-75.1652,2156.2708671970017,0.29411764705882354,0.21245927838219927,69
4347,2001-08-24,PIT,HOU,False,1,5,PIT08,PNC Park,Pittsburgh,PA,42,5,2,0,0,25,2,7,1,36,5,1,0,1,17,10,1,1,40.4406,-79.9959,413.8117505919772,0.21875,0.24222883597883596,70
4393,2001-08-28,HOU,CIN,False,6,4,HOU03,Minute Maid Park,Houston,TX,36,5,1,0,2,18,8,1,1,37,8,0,0,1,19,4,4,1,29.7604,-95.3698,1829.8898379267123,0.25925925925925924,0.2996201329534663,71
4437,2001-08-31,MIL,HOU,False,2,3,MIL06,Miller Park,Milwaukee,WI,37,8,0,0,1,14,12,0,2,38,6,2,0,0,17,8,5,0,43.0389,-87.9065,1618.8722925866018,0.3181818181818182,0.2654808959156785,72
4477,2001-09-03,CIN,HOU,True,3,2,CIN08,Cinergy Field,Cincinnati,OH,36,3,0,0,1,19,7,6,0,39,7,1,0,1,15,6,9,0,39.1031,-84.512,521.9087934522723,0.09090909090909091,0.2745159932659933,73
4522,2001-09-06,HOU,MIL,False,3,4,HOU03,Minute Maid Park,Houston,TX,39,5,2,0,1,14,15,1,1,42,4,2,1,0,22,8,5,0,29.7604,-95.3698,1436.8750340214951,0.2413793103448276,0.1857518279932073,74
4596,2001-09-18,SFN,HOU,False,2,3,SFO03,Oracle Park,San Francisco,CA,33,4,0,1,0,19,7,2,0,37,4,1,0,1,18,9,3,1,37.7749,-122.4194,2643.0458529405155,0.20833333333333334,0.28611111111111115,75
4633,2001-09-21,HOU,CHN,False,4,12,HOU03,Minute Maid Park,Houston,TX,45,6,3,2,2,20,7,5,0,41,6,3,0,1,22,5,3,1,29.7604,-95.3698,2643.0458529405155,0.25806451612903225,0.28045707829239236,76
4715,2001-09-27,CHN,HOU,False,5,6,CHI11,Wrigley Field,Chicago,IL,39,4,2,0,1,19,8,5,0,40,5,1,0,2,24,2,6,0,41.8781,-87.6298,1515.8051067847966,0.2,0.22424242424242424,77
4780,2001-10-02,HOU,SFN,False,1,4,HOU03,Minute Maid Park,Houston,TX,39,7,2,0,1,15,11,2,1,33,5,3,0,0,21,3,1,0,29.7604,-95.3698,1515.8051067847966,0.27586206896551724,0.3021346469622332,78
4826,2001-10-05,SLN,HOU,False,1,2,STL09,Busch Stadium II,St. Louis,MO,42,5,3,0,1,20,6,7,0,38,4,0,0,0,17,9,7,1,38.627,-90.1994,1094.0998481890863,0.25,0.25740740740740736,79
4874,2002-04-02,HOU,MIL,True,3,9,HOU03,Minute Maid Park,Houston,TX,43,6,2,1,3,19,7,3,2,41,10,1,0,1,14,13,1,1,29.7604,-95.3698,1094.0998481890863,0.4,0.32367708456418137,80
4948,2002-04-08,COL,HOU,True,4,8,DEN02,Coors Field,Denver,CO,42,5,1,1,3,23,4,5,0,39,9,1,1,2,19,7,0,0,39.7392,-104.9903,1413.6448443865136,0.13333333333333333,0.19111111111111112,81
5007,2002-04-12,SLN,HOU,False,7,3,STL09,Busch Stadium II,St. Louis,MO,38,7,1,1,0,20,5,4,0,40,7,1,0,3,14,7,7,1,38.627,-90.1994,1279.350134531019,0.3103448275862069,0.23641396213657875,82
5054,2002-04-16,CIN,HOU,False,3,8,CIN08,Cinergy Field,Cincinnati,OH,40,4,2,0,5,20,6,3,0,34,5,1,0,1,18,8,1,0,39.1031,-84.512,495.16523550417116,0.038461538461538464,0.17924026590693257,83
5096,2002-04-19,HOU,SFN,False,2,3,HOU03,Minute Maid Park,Houston,TX,40,5,3,0,1,21,5,5,0,31,4,0,0,2,18,7,0,0,29.7604,-95.3698,1436.8750340214951,0.09090909090909091,0.18682860349527017,84
5145,2002-04-23,FLO,HOU,False,4,3,MIA01,Sun Life Stadium,Miami,FL,45,2,2,1,0,21,15,4,0,47,8,2,1,1,18,13,4,0,25.7617,-80.1918,1556.7944991212414,0.19230769230769232,0.21640141467727672,85
5185,2002-04-26,ATL,HOU,False,9,0,ATL02,Turner Field,Atlanta,GA,32,3,0,0,0,24,1,3,1,43,11,3,1,1,13,9,4,1,33.749,-84.388,975.8830237545526,0.1111111111111111,0.27913473818646234,86
5235,2002-04-30,HOU,MON,False,1,5,HOU03,Minute Maid Park,Houston,TX,36,6,1,1,0,23,3,2,0,33,3,2,0,0,19,9,0,0,29.7604,-95.3698,1128.2636558355653,0.20833333333333334,0.2682004830917874,87
5335,2002-05-07,PHI,HOU,False,7,4,PHI12,Veterans Stadium,Philadelphia,PA,40,2,2,0,0,22,8,6,0,40,6,2,2,1,18,5,6,0,39.9526,-75.1652,2156.2708671970017,0.15384615384615385,0.22809364548494984,88
5377,2002-05-10,PIT,HOU,False,5,1,PIT08,PNC Park,Pittsburgh,PA,34,2,1,0,1,21,5,4,0,34,5,2,0,1,22,1,3,0,40.4406,-79.9959,413.8117505919772,0.08333333333333333,0.1621651295564339,89
5408,2002-05-13,HOU,PHI,False,17,3,HOU03,Minute Maid Park,Houston,TX,35,6,1,0,1,23,2,2,0,49,11,8,1,0,18,7,4,0,29.7604,-95.3698,1829.8898379267123,0.5263157894736842,0.29452615054118814,90
5523,2002-05-21,SLN,HOU,False,3,1,STL09,Busch Stadium II,St. Louis,MO,35,4,2,0,0,20,6,3,0,34,4,2,0,0,19,5,3,1,38.627,-90.1994,1094.0998481890863,0.23076923076923078,0.2676231814162849,91
5557,2002-05-24,HOU,CHN,False,4,5,HOU03,Minute Maid Park,Houston,TX,42,7,3,0,0,24,6,2,0,49,9,1,0,1,27,5,6,0,29.7604,-95.3698,1094.0998481890863,0.24324324324324326,0.2962878043041187,92
5650,2002-05-31,CHN,HOU,True,1,4,CHI11,Wrigley Field,Chicago,IL,35,5,0,0,2,18,7,3,0,35,1,2,0,1,16,10,5,0,41.8781,-87.6298,1515.8051067847966,0.13043478260869565,0.19091415830546266,93
5694,2002-06-03,ARI,HOU,False,10,4,PHO01,Chase Field,Phoenix,AZ,35,4,2,1,0,19,8,1,0,39,6,2,1,1,19,3,6,1,33.4484,-112.074,2336.340987950822,0.2692307692307692,0.26313294548588667,94
5745,2002-06-07,OAK,HOU,False,5,3,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,36,3,2,1,0,13,12,4,1,38,5,2,0,2,17,6,5,1,37.8044,-122.2712,1040.3122586911136,0.3157894736842105,0.2912237490277418,95
5795,2002-06-10,HOU,CHN,False,4,2,HOU03,Minute Maid Park,Houston,TX,35,5,2,0,1,15,11,1,0,34,5,3,0,1,15,8,1,1,29.7604,-95.3698,2630.96241264588,0.30434782608695654,0.32517486456464545,96
5872,2002-06-17,MIL,HOU,False,5,2,MIL06,Miller Park,Milwaukee,WI,34,3,0,0,2,17,9,3,0,34,8,1,0,1,14,7,3,0,43.0389,-87.9065,1618.8722925866018,0.05,0.1844951923076923,97
5924,2002-06-21,HOU,SEA,False,0,8,HOU03,Minute Maid Park,Houston,TX,44,7,2,0,2,17,10,4,2,30,4,0,0,0,14,12,0,0,29.7604,-95.3698,1618.8722925866018,0.2222222222222222,0.16778591778591778,98
6026,2002-06-28,TEX,HOU,False,5,6,ARL02,Rangers Ballpark in Arlington,Arlington,TX,41,4,2,0,2,22,6,5,0,36,5,2,1,2,14,11,1,0,32.7357,-97.1081,369.79434587527106,0.14285714285714285,0.22294372294372294,99
6063,2002-07-01,CIN,HOU,False,7,5,CIN08,Cinergy Field,Cincinnati,OH,39,5,3,0,1,20,4,6,0,39,4,5,0,0,18,5,6,1,39.1031,-84.512,1335.1764908884848,0.25,0.23118279569892475,100
6112,2002-07-04,PIT,HOU,True,6,8,PIT08,PNC Park,Pittsburgh,PA,41,4,7,0,0,20,6,4,0,40,7,3,0,2,18,8,2,0,40.4406,-79.9959,413.56383279700407,0.3548387096774194,0.25486708482676224,101
6166,2002-07-11,HOU,CIN,False,4,3,HOU03,Minute Maid Park,Houston,TX,37,7,0,0,1,20,6,3,0,31,3,2,0,1,20,3,2,0,29.7604,-95.3698,1829.8898379267123,0.16,0.23299626701800613,102
6259,2002-07-17,MIL,HOU,False,3,7,MIL06,Miller Park,Milwaukee,WI,39,6,3,0,1,21,3,5,0,35,3,1,0,1,21,5,4,0,43.0389,-87.9065,1618.8722925866018,0.26666666666666666,0.24047619047619045,103
6286,2002-07-19,CHN,HOU,True,5,0,CHI11,Wrigley Field,Chicago,IL,31,2,1,0,0,19,9,0,0,37,3,1,0,1,16,9,7,0,41.8781,-87.6298,131.0556033889396,0.13636363636363635,0.15656565656565657,104
6331,2002-07-22,HOU,MIL,False,3,1,HOU03,Minute Maid Park,Houston,TX,35,6,1,0,0,19,6,3,0,38,11,1,0,1,16,7,2,0,29.7604,-95.3698,1515.8051067847966,0.39285714285714285,0.28111104595094744,105
6437,2002-07-30,NYN,HOU,False,3,16,NYC17,Shea Stadium,New York,NY,54,15,2,1,2,22,6,6,0,34,5,1,0,2,23,2,1,0,40.7128,-74.006,2281.3448196669424,0.4,0.26825396825396824,106
6480,2002-08-02,MON,HOU,False,3,1,MON02,Stade Olympique,Montreal,QUE,33,3,1,0,0,15,12,2,0,33,5,2,1,0,20,2,3,0,45.5017,-73.5673,533.6884829149174,0.21052631578947367,0.24599493625506932,107
6530,2002-08-06,HOU,FLO,False,2,0,HOU03,Minute Maid Park,Houston,TX,38,6,2,0,0,16,10,4,0,34,4,1,0,0,16,7,6,0,29.7604,-95.3698,2582.3304260193245,0.23809523809523808,0.29578544061302686,108
6613,2002-08-12,CHN,HOU,False,6,9,CHI11,Wrigley Field,Chicago,IL,41,9,2,0,2,12,13,2,1,38,2,1,0,4,15,11,3,2,41.8781,-87.6298,1515.8051067847966,0.391304347826087,0.28103929318763077,109
6666,2002-08-16,CIN,HOU,False,9,3,CIN08,Cinergy Field,Cincinnati,OH,38,7,1,0,0,24,5,0,1,41,7,5,0,1,12,9,6,1,39.1031,-84.512,405.8047375471237,0.25,0.20924347158218126,110
6721,2002-08-20,HOU,CHN,False,12,14,HOU03,Minute Maid Park,Houston,TX,54,18,3,1,2,18,9,3,0,50,10,2,2,2,20,6,7,1,29.7604,-95.3698,1436.8750340214951,0.35294117647058826,0.2729891400595735,111
6901,2002-09-02,TEX,HOU,True,7,2,ARL02,Rangers Ballpark in Arlington,Arlington,TX,39,7,1,0,1,16,9,4,1,43,10,3,0,1,17,5,7,0,32.7357,-97.1081,369.79434587527106,0.2916666666666667,0.2916666666666667,112
6921,2002-09-03,SDN,HOU,False,2,6,SAN01,Qualcomm Stadium,San Diego,CA,42,7,4,1,0,18,7,2,3,37,9,3,0,0,19,5,1,0,32.7157,-117.1611,1873.0332898751137,0.4,0.30125,113
6957,2002-09-06,LAN,HOU,False,3,2,LOS03,Dodger Stadium,Los Angeles,CA,39,3,2,0,1,18,9,6,0,34,6,1,0,0,20,2,4,1,34.0522,-118.2437,179.41042505730124,0.17391304347826086,0.21052356704530617,114
